╭──────────────┬─────────────────────────────────────────────────────────────────┬────────────────────────────────────────────────────────────────────┬───────────────────────────────────────────────────────────────────────────────┬────────────────────────────────────────────────────────────────────────────────────────╮
│              │ 1024                                                            │ 2048                                                               │ 4096                                                                          │ 8192                                                                                   │
├──────────────┼────────┬───────┬──────┬──────┬──────┬──────┬──────┬──────┬──────┼────────┬────────┬───────┬───────┬──────┬──────┬──────┬──────┬──────┼──────────┬─────────┬────────┬────────┬────────┬───────┬───────┬───────┬───────┼───────────┬──────────┬──────────┬─────────┬────────┬────────┬────────┬────────┬────────┤
│ Limit / Base │ 1      │ 2     │ 3    │ 4    │ 5    │ 6    │ 7    │ 8    │ 9    │ 1      │ 2      │ 3     │ 4     │ 5    │ 6    │ 7    │ 8    │ 9    │ 1        │ 2       │ 3      │ 4      │ 5      │ 6     │ 7     │ 8     │ 9     │ 1         │ 2        │ 3        │ 4       │ 5      │ 6      │ 7      │ 8      │ 9      │
├──────────────┼────────┼───────┼──────┼──────┼──────┼──────┼──────┼──────┼──────┼────────┼────────┼───────┼───────┼──────┼──────┼──────┼──────┼──────┼──────────┼─────────┼────────┼────────┼────────┼───────┼───────┼───────┼───────┼───────────┼──────────┼──────────┼─────────┼────────┼────────┼────────┼────────┼────────┤
│            2 │ 20/350 │ 5/127 │ 3/76 │ 1/44 │ 1/30 │ 0/24 │ 1/29 │ 1/16 │ 0/17 │ 79/985 │ 21/355 │ 8/205 │ 6/127 │ 3/90 │ 3/74 │ 1/61 │ 1/47 │ 1/36 │ 320/3004 │ 82/1073 │ 36/618 │ 21/388 │ 14/272 │ 9/223 │ 7/187 │ 6/145 │ 5/115 │ 1270/9089 │ 338/3281 │ 145/1857 │ 82/1168 │ 57/818 │ 41/689 │ 31/555 │ 24/434 │ 20/336 │
│          222 │  22/12 │   5/4 │  3/2 │  0/2 │  1/1 │  1/0 │  1/0 │  0/0 │  0/0 │  79/40 │  20/13 │   9/7 │   5/4 │  4/3 │  3/1 │  2/1 │  1/2 │  0/2 │  318/125 │   84/42 │  38/22 │  21/12 │  13/10 │  10/8 │   8/5 │   5/5 │   5/4 │  1308/374 │  338/130 │   148/67 │   85/42 │  56/29 │  42/23 │  30/19 │  25/15 │  20/13 │
│          242 │  19/13 │   5/4 │  2/1 │  1/1 │  1/1 │  1/0 │  0/1 │  0/1 │  0/0 │  80/39 │  21/13 │   9/7 │   4/5 │  4/2 │  3/1 │  3/1 │  0/2 │  0/2 │  319/122 │   84/42 │  36/21 │  21/13 │   15/9 │  10/7 │   6/6 │   6/4 │   5/4 │  1283/370 │  338/128 │   147/66 │   84/41 │  58/30 │  40/23 │  31/18 │  24/14 │  20/14 │
│          262 │  19/13 │   6/4 │  2/2 │  1/2 │  1/1 │  0/0 │  1/0 │  0/0 │  1/0 │  79/42 │  21/13 │   8/7 │   5/5 │  3/3 │  1/3 │  2/2 │  2/0 │  1/0 │  325/128 │   85/43 │  37/20 │  21/14 │   14/9 │   9/7 │   7/6 │   5/6 │   4/5 │  1296/391 │  335/135 │   145/65 │   83/44 │  56/31 │  41/24 │  31/18 │  25/16 │  20/13 │
│          282 │  19/13 │   5/5 │  1/2 │  1/1 │  1/0 │  1/0 │  0/1 │  1/0 │  0/1 │  80/41 │  21/13 │  10/6 │   4/5 │  4/3 │  3/1 │  2/2 │  0/2 │  0/2 │  319/132 │   85/44 │  37/20 │  20/13 │  14/10 │  10/8 │   6/6 │   5/5 │   5/4 │  1275/392 │  338/138 │   146/67 │   87/45 │  57/32 │  41/24 │  30/19 │  24/17 │  20/14 │
│          302 │  19/13 │   4/4 │  2/2 │  1/0 │  1/1 │  0/1 │  0/0 │  1/0 │  0/0 │  80/43 │  20/14 │  10/7 │   5/5 │  4/3 │  1/3 │  1/1 │  2/1 │  1/1 │  317/127 │   83/44 │  37/21 │  20/14 │  14/10 │   9/8 │   7/7 │   6/5 │   4/5 │  1277/398 │  335/137 │   146/66 │   84/44 │  59/30 │  40/24 │  30/21 │  24/15 │  20/13 │
│          322 │  20/13 │   6/4 │  2/2 │  1/1 │  0/0 │  0/0 │  0/0 │  1/0 │  1/0 │  80/42 │  21/14 │  10/6 │   5/4 │  3/4 │  2/2 │  2/2 │  2/1 │  1/0 │  318/130 │   85/44 │  37/21 │  21/14 │  13/10 │  10/7 │   8/5 │   5/6 │   5/5 │  1273/398 │  334/134 │   145/66 │   84/43 │  56/29 │  41/23 │  31/19 │  25/16 │  19/14 │
│          342 │  19/13 │   5/5 │  2/2 │  1/1 │  1/0 │  0/0 │  1/0 │  0/0 │  1/0 │  78/41 │  20/14 │   9/7 │   5/4 │  3/3 │  2/1 │  2/1 │  1/2 │  1/1 │  331/130 │   83/44 │  36/22 │  20/13 │  14/10 │   9/9 │   7/7 │   7/4 │   6/4 │  1275/393 │  336/136 │   145/74 │   84/43 │  57/31 │  40/25 │  31/20 │  25/16 │  21/13 │
│          362 │  19/14 │   4/5 │  1/1 │  0/1 │  0/0 │  0/1 │  0/0 │  1/0 │  0/0 │  80/42 │  21/13 │  10/7 │   5/4 │  3/3 │  2/2 │  2/2 │  2/1 │  1/0 │  322/129 │   85/44 │  38/24 │  21/14 │  14/10 │  10/8 │   8/6 │   6/5 │   5/3 │  1288/389 │  337/135 │   146/72 │   83/44 │  56/31 │  41/26 │  31/21 │  24/17 │  20/14 │
│          382 │  20/14 │   5/5 │  2/2 │  1/2 │  0/1 │  0/0 │  1/0 │  0/0 │  1/0 │  80/43 │  21/14 │  10/6 │   5/3 │  3/3 │  1/3 │  2/1 │  1/1 │  1/1 │  319/129 │   84/43 │  37/23 │  22/14 │   14/9 │  10/8 │   8/6 │   5/5 │   4/3 │  1267/389 │  334/134 │   145/73 │   85/45 │  57/29 │  40/27 │  30/20 │  23/16 │  20/13 │
│          402 │  19/14 │   4/4 │  1/2 │  2/1 │  0/1 │  1/0 │  0/0 │  0/1 │  0/0 │  80/41 │  21/13 │   9/8 │   5/4 │  3/3 │  3/2 │  2/1 │  1/1 │  1/1 │  318/126 │   83/44 │  36/23 │  21/14 │   15/9 │  10/9 │   8/5 │   6/5 │   4/4 │  1269/389 │  335/137 │   146/74 │   84/45 │  57/32 │  40/27 │  30/20 │  25/15 │  20/14 │
